AECX1101,AECX1102,AECX1107,AZZX0011,AECX1104,Positions
4403000000023279,月亮湾,0755-26523177,南山街道,南山区兴海大道22号月亮湾花园33栋102号,lng:113.888901|lat:22.492579
4403000000023280,东方,0755-26922477,沙河街道,南山区华侨城东方花园服务楼301号,lng:113.965182|lat:22.55529
4403000000023281,星河,0755-26924303,沙河街道,南山区沙河世纪假日广场B座209,lng:113.97274|lat:22.53851
4403000000023282,大铲,0755-26697637,蛇口街道,南山区后海理想雅园裙楼13-15号,lng:113.935712|lat:22.493464
4403000000023283,东角头,0755-26826077,蛇口街道,南山区蛇口街道望海路1088号海韵嘉园东区裙楼1楼,lng:113.925856|lat:22.48556
4403000000023284,海滨,0755-26865131,蛇口街道,南山区蛇口新荣村小区C3栋一层101-103房,lng:113.926184|lat:22.486942
4403000000023285,南水,0755-26682833,蛇口街道,南山区蛇口公园南路11号南水社区工作站1楼,lng:113.924427|lat:22.488399
4403000000023287,湾厦,0755-88275127,蛇口街道,南山区蛇口湾厦北路122号泰福苑三楼,lng:113.933442|lat:22.488956
4403000000023288,渔二,0755-26671028,蛇口街道,南山区蛇口新街90号二楼渔二社区工作站,lng:113.93033|lat:22.485372
4403000000023289,桂园,0755-26828241,招商街道,南山区近海路招商服务大厦南座二楼（约596平方米）,lng:113.931951|lat:22.502823
4403000000023290,水湾,0755-26884231,招商街道,南山区蛇口荔园路38号水湾1979花园3座4楼,lng:113.91916|lat:22.489855
4403000000023291,五湾,0755-26815913,招商街道,南山区蛇口松湖二路8号鲸山花园9期十四栋1层,lng:113.9063|lat:22.477805
4403000000023292,沿山,0755-26828642,招商街道,南山区沿山路42号花园城5期2栋一楼,lng:113.919625|lat:22.499223
4403000000023293,滨海,0755-26555693,粤海街道,南山区书山路26号海文花园会所2楼,lng:113.932679|lat:22.523152
4403000000023294,创业路,0755-26643157,粤海街道,南山区龙城路58号,lng:113.930399|lat:22.512777
4403000000023295,大冲,0755-26741637,粤海街道,南山区科技园大冲社区新城花园2栋2C3楼,lng:113.951533|lat:22.542245
4403000000023296,高新区,0755-86152712,粤海街道,南山区深圳湾科技生态园2栋A座2楼,lng:113.953826|lat:22.528092
4403000000023297,深大,0755-26558386,粤海街道,南山区深圳大学乔相阁一楼,lng:113.934159|lat:22.527392
4403000000023298,粤桂,0755-26720689,粤海街道,南山区桂庙新村90号一楼,lng:113.931796|lat:22.525517
4403000000023299,长源,0755-26587069,桃源街道,南山区桃源街道长源社区长源花园1号楼二楼,lng:114.009468|lat:22.596369
4403000000023300,大学城,0755-26519201,桃源街道,南山区丽山路16号西湖林语名苑3栋一楼,lng:113.964699|lat:22.592663
4403000000023301,福光,0755-86180728,桃源街道,南山区学苑大道崇文花园5A栋一楼,lng:113.992197|lat:22.591691
4403000000023302,龙光,0755-26786977,桃源街道,南山区桃源街道龙井路龙井村东区15号一楼,lng:113.974958|lat:22.560265
4403000000023303,龙辉,0755-26547435,桃源街道,南山区龙珠大道245号龙辉花园26栋107,lng:113.958376|lat:22.567231
4403000000023304,沙湖,0755-84625588,碧岭街道,坪山区碧岭街道沙湖同裕路238号,lng:114.313656|lat:22.670856
4403000000023305,碧岭,0755-84629483,碧岭街道,坪山区坪山街道碧岭社区风顺路28号,lng:114.289303|lat:22.667725
4403000000023306,汤坑,0755-84625488,碧岭街道,坪山区碧沙北路坪山首座四栋六楼,lng:114.315821|lat:22.666277
4403000000023307,坪环,0755-28826324,马峦街道,坪山区马峦街道坪环路34号,lng:114.347521|lat:22.681069
4403000000023308,龙联,0755-86230263,桃源街道,南山区桃源街道龙珠一路6号桃源文体中心附属楼A座三楼,lng:113.875749|lat:22.579822
4403000000023309,江岭,0755-89936088,马峦街道,坪山区坪山街道江岭社区文化广场办公大楼,lng:114.346251|lat:22.691253
4403000000023310,沙坣,0755-89928892,马峦街道,坪山区马峦街道同富裕工业区宿舍6栋,lng:114.341975|lat:22.673543
4403000000023311,金龟,0755-84627388,石井街道,坪山区坪山街道坪葵路189号,lng:114.3998|lat:22.657791
4403000000023312,石井,0755-84621282,石井街道,坪山区坪山街道石井金田路15号,lng:114.38005|lat:22.69146
4403000000023313,田头,0755-84632266,石井街道,坪山区金田路212号,lng:114.401928|lat:22.691331
4403000000023314,田心,0755-84632831,石井街道,坪山区金田路348号,lng:114.41705|lat:22.69375
4403000000023315,竹坑,0755-84630508,龙田街道,坪山区龙田街道金牛东路66号,lng:114.398319|lat:22.711012
4403000000023316,南布,0755-89666343,龙田街道,坪山区燕子岭五路海昱生活区南布社区工作站,lng:114.362538|lat:22.700557
4403000000023317,平山,0755-26985657/26985581,桃源街道,南山区桃源街道平山社区平山村平福苑二楼,lng:113.966965|lat:22.58413
4403000000023318,龙田,0755-84123557,龙田街道,坪山区龙田街道街道龙田社区龙腾路23号,lng:114.371339|lat:22.755911
4403000000023319,坑梓,0755-84133160,坑梓街道,坪山区坑梓街道人民西路1号,lng:114.370299|lat:22.743659
4403000000023320,秀新,0755-84134569,坑梓街道,坪山区坑梓街道人民西路32号,lng:114.376447|lat:22.744944
4403000000023321,金沙,0755-84129578,坑梓街道,坪山区坑梓街道金康路71号,lng:114.400459|lat:22.753144
4403000000023322,沙田,0755-84126767,坑梓街道,坪山区坑梓街道沙田南路1号,lng:114.401534|lat:22.757039
4403000000023323,六联,0755-28361516,坪山街道,坪山区坪山街道东成路8号,lng:114.330337|lat:22.692497
4403000000023286,坪山,0755-28826492,坪山街道,坪山区坪山街道立北小区四巷11号,lng:114.35214|lat:22.689609
4403000000023324,六和,0755-28822663,坪山街道,坪山区坪山街道正坑路6号,lng:114.345231|lat:22.701198
4403000000023325,和平,0755-28829696,坪山街道,坪山区坪山街道中兴西2巷26号,lng:114.346251|lat:22.691253
4403000000023326,塘朗,0755-26554116,桃源街道,南山区桃源街道塘朗大厦1号2楼,lng:113.98732|lat:22.59013
4403000000023327,桃源,0755-26793621,桃源街道,南山区龙珠大道桃源村94栋二楼,lng:113.981493|lat:22.558369
4403000000022669,珠光,0755-86652908,桃源街道,南山区桃源街道龙珠一路6号桃源文体中心附属楼A座四楼,lng:113.875749|lat:22.579822
4403000000022670,峰景,0755-86107512,桃源街道,南山区龙珠大道040号梅州大厦三楼,lng:113.984395|lat:22.559249
4403000000022671,白花,0755-27432208,光明街道,光明区光明街道白花社区富民大道社区综合服务楼,lng:113.949314|lat:22.757762
4403000000022672,龙珠,0755-86075407,桃源街道,南山龙珠八路桃源村三期3C负一楼。,lng:113.985586|lat:22.557324
4403000000022673,西田,0755-27113079,公明街道,光明区公明街道西田社区志康路10号综合楼,lng:113.889749|lat:22.801317
4403000000022674,李松蓢,0755-27126398,公明街道,光明区公明街道李松蓢社区浦园路2号,lng:113.893598|lat:22.798323
4403000000022675,梧桐,0755-25360297,海山街道,盐田区香径东街28号暗径新村1栋2楼,lng:114.236181|lat:22.557643
4403000000022676,下村,0755-27160209,公明街道,光明区公明街道下村社区富利路与水荫路交汇处,lng:113.887411|lat:22.784753
4403000000022677,公明,0755-27738747,公明街道,光明区公明街道振明路150号,lng:113.88751|lat:22.783445
4403000000022678,鹏湾,0755-25557189,海山街道,盐田区深盐路马庙街9号,lng:114.23685|lat:22.554435
4403000000022679,圳美,0755-81767305,新湖街道,光明区新湖街道圳美社区公常路234号,lng:113.932668|lat:22.782338
4403000000022680,盐田,0755-82633813,盐田街道,盐田区盐田安置区1号201（盐田社区综合服务楼或渔民新村篮球场旁）,lng:114.238359|lat:22.55419
4403000000022681,塘家,0755-29905006,凤凰街道,光明区凤凰街道塘家社区同业路光谷苑二栋二楼,lng:113.928813|lat:22.734742
4403000000022682,塘尾,0755-27176633,凤凰街道,光明区凤凰街道塘尾社区高墩北路198号,lng:113.904597|lat:22.750046
4403000000022683,东坑,0755-27170007,凤凰街道,光明区凤凰街道东坑社区东隆路1号,lng:113.917545|lat:22.752286
4403000000022684,甲子塘,0755-27173817,凤凰街道,光明区凤凰街道甲子塘社区康茂路9号,lng:113.917709|lat:22.73191
4403000000022685,小梅沙,0755-25036099,梅沙街道,盐田区小梅沙村68号小梅沙社区综合楼,lng:114.325258|lat:22.602498
4403000000022686,田寮,0755-27191939,玉塘街道,光明区玉塘街道田寮社区文明路88号,lng:113.900383|lat:22.728561
4403000000022687,长圳,0755-27181823,玉塘街道,光明区玉塘街道长圳社区长祥路3号,lng:113.919169|lat:22.718013
4403000000022688,玉律,0755-27171292,玉塘街道,光明区玉塘街道玉律社区玉泉西路169号,lng:113.897385|lat:22.717439
4403000000022689,红星,0755-23193561,玉塘街道,光明区玉塘街道红星社区星湖路41号,lng:113.906519|lat:22.706856
4403000000022690,薯田埔,0755-27129702,马田街道,光明区马田街道薯田埔社区西环大道355号,lng:113.874598|lat:22.781426
4403000000022691,洪浪,0755-27590149/29235383,新安街道,宝安区20区洪浪南路3号,lng:113.915937|lat:22.568331
4403000000022692,宝民,0755-27804552,新安街道,宝安区新安街道24区宝民花园20栋党群服务中心,lng:113.894016|lat:22.563346
4403000000022693,根竹园,0755-23427931,马田街道,光明区马田街道根竹园花园二楼,lng:113.87509|lat:22.772459
4403000000022694,将围,0755-23245125,马田街道,光明区马田街道将围社区将石路37号将军围广场旁,lng:113.903336|lat:22.75479
4403000000022695,新庄,0755-21380867,马田街道,光明区马田街道新庄社区大围延昌路57号,lng:113.909893|lat:22.760625
4403000000022696,石家,0755-29093298,马田街道,光明区马田街道石家社区上石家安佳工业园1栋,lng:113.893603|lat:22.762911
4403000000022697,石围,0755-21023927,马田街道,光明区马田街道石围社区水库路51号,lng:114.24642|lat:22.663131
4403000000022698,新安湖,0755-27759876,新安街道,宝安区新安街道8区新圳东路29号新安湖花园内新安湖社区党群服务中心,lng:113.907314|lat:22.56339
4403000000022699,南昌,0755-27489198,西乡街道,宝安区西乡街道宝源路伟业创新一八工业园,lng:113.835219|lat:22.598665
4403000000022700,共乐,0755-27902552,西乡街道,宝安区西乡街道新湾路116号共乐华庭1楼共乐社区党群服务中心,lng:113.858603|lat:22.57996
4403000000022701,河东,0755-27927370,西乡街道,宝安区西乡街道建安二路河东骏丰园副楼,lng:113.885246|lat:22.583858
4403000000022702,渔业,0755-29700609,西乡街道,宝安区西乡街道办渔业新村1号,lng:113.869307|lat:22.565863
4403000000022703,龙腾,0755-27903246,西乡街道,宝安区西乡街道西乡银田西发工业区B区五栋一楼A单元、二楼A单元龙腾社区居民委员会,lng:113.862857|lat:22.583742
4403000000022704,福中福,0755-27924175,西乡街道,宝安区西乡街道悦和路富通城四期9栋一楼（福中福社区党群服务中心）,lng:113.853538|lat:22.567561
4403000000022705,永丰,0755-27906133,西乡街道,宝安区西乡街道新湖路与劳动路交汇处北侧永丰综合楼11楼,lng:113.868773|lat:22.57187
4403000000022706,黄麻布,0755-27485508,航城街道,宝安区航城街道黄麻布路34号,lng:113.867143|lat:22.664184
4403000000022707,草围,0755-29916235,航城街道,宝安区航城街道草围社区二路28号,lng:113.841583|lat:22.62412
4403000000022708,兴围,0755-27777655,福永街道,宝安区福永街道兴围路东8号,lng:113.832368|lat:22.637381
4403000000022709,白石厦,0755-27391214,福永街道,宝安区福永街道福洲大道白石厦居委大楼,lng:113.810611|lat:22.675032
4403000000022710,蚝三,0755-27727115,沙井街道,宝安区沙井街道西环路沙一康城花园首层,lng:113.802639|lat:22.74007
4403000000022711,蚝四,0755-23062825,沙井街道,宝安区沙井街道帝堂路四村公园大楼,lng:113.830294|lat:22.735361
4403000000022712,民主,0755-27259112/27259113,沙井街道,宝安区沙井街道民主大道蚝三民主丰泽园一楼商铺133-145号,lng:113.78369|lat:22.734736
4403000000022713,步涌,0755-23237838,沙井街道,宝安区沙井街道新和大道189号,lng:113.806617|lat:22.758701
4403000000022714,上星,0755—27279289,新桥街道,宝安区新桥街道河滨南路24号上星大厦,lng:113.834805|lat:22.726916
4403000000022715,西涌,0755-84421165,南澳街道,大鹏新区南澳街道西涌鹤薮二区190号,lng:114.537861|lat:22.486212
4403000000022716,东涌,0755-84420061,南澳街道,大鹏新区南澳街道东涌社区大围126号,lng:114.584523|lat:22.500623
4403000000022717,东山,0755-84422459,南澳街道,大鹏新区南澳街道东山社区大碓路58号,lng:114.540863|lat:22.55665
4403000000022718,东渔,0755-84422452,南澳街道,大鹏新区南澳街道东渔街1号,lng:114.491198|lat:22.534093
4403000000022719,南渔,0755-84404223,南澳街道,大鹏新区南澳街道人民路2号6楼,lng:114.04793|lat:22.702435
4403000000022720,南澳,0755-84401426,南澳街道,大鹏新区南澳街道人民路2号（文体中心）三楼309室,lng:114.04793|lat:22.702435
4403000000022721,新大,0755-84425457,南澳街道,大鹏新区南澳街道南澳办事处新大路55号,lng:114.516461|lat:22.536199
4403000000022722,南隆,0755-84401154,南澳街道,大鹏新区南澳街道人民路39号,lng:114.497204|lat:22.535089
4403000000022723,园东,0755-22204314,园岭街道,福田区园岭五街园东花园3栋裙楼2楼西,lng:114.100723|lat:22.552778
4403000000022724,红荔,0755-22204111,园岭街道,福田区园岭六街中心花园商业楼二楼东,lng:114.09975|lat:22.554427
4403000000022725,长城,0755-83619384,园岭街道,福田区百花七路长怡花园C座首层,lng:114.088352|lat:22.550642
4403000000022726,南天,0755-83270160,园岭街道,福田区百花一路百花园二期芙蓉阁裙楼商铺B108,lng:114.095159|lat:22.551715
4403000000022727,上林,0755-25915881,园岭街道,福田区八卦三路荣生大厦7楼708,lng:114.100903|lat:22.562334
4403000000022728,鹏盛,0755-25982983,园岭街道,福田区八卦一路鹏盛年华A栋二楼,lng:114.100661|lat:22.557067
4403000000022729,华林,0755-25849315,园岭街道,福田区八卦一路鹏益花园2栋201,lng:114.095165|lat:22.559614
4403000000022730,巴登,0755-25943749,南园街道,福田区巴登街巴登村154号工贸楼4楼,lng:114.102378|lat:22.539162
4403000000022731,滨江,0755-82271087,南园街道,福田区东园路滨河新村26栋102、103,lng:114.101682|lat:22.537056
4403000000022732,南园,0755-83626493,南园街道,福田区统建楼2栋18D,lng:114.093164|lat:22.540237
4403000000022733,沙埔头,0755-83292525,南园街道,福田区沙埔头东村口90号,lng:114.092578|lat:22.537835
4403000000022734,锦龙,0755-83271023,南园街道,福田区华发南路锦龙花园二栋二楼西北角,lng:114.091617|lat:22.536466
4403000000022735,园西,0755-83636464,南园街道,福田区华发南路35号中电怡静苑三楼,lng:114.088999|lat:22.539629
4403000000022736,南华,0755-83634220,南园街道,福田区南华村70栋1楼东南侧,lng:114.087334|lat:22.53373
4403000000022737,赤尾,0755-83611347,南园街道,福田区华强南路御景华城5栋裙楼3楼,lng:114.08614|lat:22.53325
4403000000022738,滨河,0755-83958197,南园街道,福田区滨河大道3161号怡兴苑1栋2楼,lng:114.082818|lat:22.52904
4403000000022739,东园,0755-25847353,南园街道,福田区巴丁街43号东园新村8栋107,lng:114.101871|lat:22.539604
4403000000022740,玉田,0755-83630943,南园街道,福田区上步南路锦锋大厦首层,lng:114.095539|lat:22.536739
4403000000022741,岗厦,0755-82953340,福田街道,福田区岗厦统建楼4栋101,lng:114.071556|lat:22.537704
4403000000022742,皇岗,0755-83826905,福田街道,福田区皇岗社区市场北座207,lng:114.062213|lat:22.526537
4403000000022743,口岸,0755-82875663,福田街道,福田区福田南路7号深港一号21栋一楼,lng:114.075004|lat:22.524376
4403000000022744,福田,0755-83600368,福田街道,福田区福星路29号环庆大厦九楼,lng:114.081643|lat:22.5331
4403000000022745,福山,0755-83020439,福田街道,福田区海田路港丽豪园三栋西侧首层,lng:114.06591|lat:22.52957
4403000000022746,渔农,0755-82775230,福田街道,福田区金地名津商业广场二楼109,lng:114.07385|lat:22.51635
4403000000022747,福民,0755-83552691,福田街道,福田区福民新村福星大厦首层,lng:114.054464|lat:22.503473
4403000000022748,水围,0755-83801645,福田街道,福田区水围村198号水围新家园B栋2楼,lng:114.063451|lat:22.521473
4403000000022749,海滨,0755-83831743,福田街道,福田区金田路2006号,lng:114.06494|lat:22.524654
4403000000022750,圩镇,0755-82869063,福田街道,福田南路22号福滨苑B栋三楼圩镇社区工作站,lng:114.078639|lat:22.531583
4403000000022751,福安,0755-82030130,福田街道,福田区福华四路99号发展兴苑一栋一楼,lng:114.050504|lat:22.530475
4403000000022752,福华,0755-83740422,福田街道,福田区福华路19号上武综合楼一楼,lng:114.083872|lat:22.536833
4403000000022753,福南,0755-83983596,福田街道,福田区福华路110号广业大厦东408,lng:114.081627|lat:22.537851
4403000000022754,上沙,0755-83200558,沙头街道,福田区上沙社区服务中心2楼,lng:114.031173|lat:22.523654
4403000000022755,下沙,0755-82780028,沙头街道,福田区下沙村八坊118号,lng:114.028304|lat:22.52532
4403000000022757,沙尾,0755-83866928,沙头街道,福田区福强路沙尾股份公司一、二楼,lng:114.041939|lat:22.519768
4403000000022758,新洲,0755-83303141,沙头街道,福田区新洲中心村68号3楼,lng:114.046881|lat:22.523311
4403000000022759,新沙,0755-83401381,沙头街道,福田区新沙路忆新街6号二楼,lng:114.04569|lat:22.530051
4403000000022760,天安,0755-83303417,沙头街道,福田区天安数码城顺泰公寓一楼,lng:114.03314|lat:22.528698
4403000000022761,新华,0755-83584818,沙头街道,福田区锦洲花园3栋首层,lng:114.04437|lat:22.525456
4403000000022762,金地,0755-83897025,沙头街道,福田区福强路金地名轩二楼,lng:114.039698|lat:22.521541
4403000000022763,金城,0755-26768234,沙头街道,福田区侨城东路金海燕花园4栋1楼,lng:113.997395|lat:22.530305
4403000000022764,翠湾,0755-83471509,沙头街道,福田区新洲南路翠堤湾花园26栋首层,lng:114.04066|lat:22.515053
4403000000022765,金碧,0755-33390785,沙头街道,福田区福荣路68号万科金域蓝湾A33,lng:114.025273|lat:22.523232
4403000000022766,新兴,0755-83128189,梅林街道,福田区梅林路上梅林文体公园二楼T5－4,lng:114.048201|lat:22.567322
4403000000022767,下梅,0755-83189366,梅林街道,福田区下梅林锦林新居11栋3单元首层,lng:114.040916|lat:22.561844
4403000000022768,梅京,0755-83512425,梅林街道,福田区下梅林二街颂德国际临街商铺二楼,lng:114.034481|lat:22.562155
4403000000022769,孖岭,0755-83311913,梅林街道,福田区彩田北路7001号艺丰花园A区12栋2楼,lng:114.066229|lat:22.569901
4403000000022770,上梅,0755-83310014,梅林街道,福田区上梅林福新阁F单元2楼,lng:114.056427|lat:22.566454
4403000000022771,新阁,0755-83317183,梅林街道,福田区林园东路10号特皓苑小区4栋南面1楼,lng:114.074518|lat:22.569725
4403000000022772,梅林一村,0755-83534742,梅林街道,福田区梅丽路梅林一村居民活动中心一楼,lng:114.07161|lat:22.552771
4403000000022773,龙尾,0755-83147613,梅林街道,福田区龙尾路2号福兴花园C-109,lng:114.044546|lat:22.568921
4403000000022756,沙嘴,0755-83304077,沙头街道,福田区沙嘴村四坊84号3楼,lng:114.036824|lat:22.518262
4403000000022776,梅都,0755-83123052,梅林街道,福田区上梅林中康北路颐林雅院4栋2单元1E,lng:114.058716|lat:22.572452
4403000000022777,梅河,0755-83111067,梅林街道,福田区下梅林金梅花园2栋5单元111,lng:114.043023|lat:22.565563
4403000000022778,翰岭,0755-88395371,梅林街道,福田区梅东2路2号半山御景2栋2楼,lng:114.070858|lat:22.572358
4403000000022779,梅岗,0755-83276904,华富街道,福田区泥岗西路2012号网羽中心主馆一楼,lng:114.087684|lat:22.558944
4403000000022780,华山,0755-83269471,华富街道,福田区梅岗路1号华富村北区86栋3楼华山工作站,lng:114.083467|lat:22.556534
4403000000022781,新田,0755-83267270,华富街道,福田区福中路11号皇家翠苑1楼,lng:114.071579|lat:22.54446
4403000000022782,田面,0755-83996423,华富街道,福田区田面股份公司大楼3楼,lng:114.07625|lat:22.54275
4403000000022783,黄木岗,0755-83347696,华富街道,福田区园心苑5栋地下负一层,lng:114.074272|lat:22.548803
4403000000022784,莲花一村,0755-83276894,华富街道,福田区笋岗西路4001号莲花一村11栋101,lng:114.070667|lat:22.55391
4403000000022785,莲花二村,0755-83293882,华富街道,福田区红荔路5008号莲花二村37栋104,lng:114.069386|lat:22.54992
4403000000022786,莲花三村,0755-83258871,华富街道,福田区红荔西路5001号莲花三村长福花园3栋104房,lng:114.071081|lat:22.547145
4403000000022787,沙浦围,0755-27718260,松岗街道,宝安区沙浦围社区商住区27号沙浦围社区党群服务中心一楼,lng:113.825393|lat:22.774496
4403000000022788,沙浦,0755-23503455,松岗街道,宝安区沙浦社区沙浦二路18号沙浦社区居委大楼一楼,lng:113.830449|lat:22.775204
4403000000022789,溪头,0755-82598517/27718403,松岗街道,宝安区松岗街道溪头社区宝溪三路1号党群服务中心大楼,lng:113.833615|lat:22.773775
4403000000022790,岗头,0755-89356898,坂田街道,龙岗区坂田街道岗头社区坂雪岗大道4005号马蹄山综合楼B栋1、3楼,lng:114.066371|lat:22.651294
4403000000022791,南岭村,0755-89962383,南湾街道,龙岗区南湾街道南岭村社区南岭南路35号,lng:114.151181|lat:22.611883
4403000000022792,沙塘布,0755-28751350,南湾街道,龙岗区南湾街道沙塘布社区居委会办公大楼,lng:114.138146|lat:22.62937
4403000000022793,上李朗,0755-89701433,南湾街道,龙岗区布澜路188号,lng:114.117731|lat:22.654463
4403000000022794,下李朗,0755-28725215,南湾街道,龙岗区南湾街道下李朗社区下李北路1号,lng:114.135292|lat:22.638665
4403000000022795,福中,0755-82942604,莲花街道,福田区福中一路深业花园C栋一楼,lng:114.06602|lat:22.546118
4403000000022796,福新,0755-82987161,莲花街道,福田区黄埔雅苑逸悠园3栋1楼,lng:114.050823|lat:22.543305
4403000000022797,彩虹,0755-83131083,莲花街道,福田区莲花支路长城盛世一期2楼,lng:114.066375|lat:22.560416
4403000000022798,莲花北,0755-83926768,莲花街道,福田区莲花北村富莲大厦3栋2层,lng:114.053641|lat:22.561052
4403000000022799,景田,0755-83927214,莲花街道,福田区新洲北路景田南小区21栋102室,lng:114.045824|lat:22.555195
4403000000022800,景华,0755-83905672,莲花街道,福田区景田东路安通花园4-105,lng:114.047512|lat:22.552822
4403000000022801,紫荆,0755-82713112,莲花街道,福田区新闻路五洲星苑C栋2楼,lng:114.045303|lat:22.542392
4403000000022802,梅岭,0755-82916638,莲花街道,福田区香梅路1018号东方玫瑰园1栋2楼,lng:114.042216|lat:22.540407
4403000000022803,狮岭,0755-83924975,莲花街道,福田区红荔西路市政大院24栋一楼,lng:114.042562|lat:22.547655
4403000000022804,康欣,0755-83538622,莲花街道,福田区北环路7043号青海大厦一楼A、C室,lng:114.033069|lat:22.557784
4403000000022805,梅富,0755-83062327,莲花街道,福田区景田东路99号,lng:114.042435|lat:22.55826
4403000000022806,彩田,0755-83072882,莲花街道,福田区彩田村综合楼,lng:114.062307|lat:22.560773
4403000000022807,通新岭,0755-82103552,华强北街道,福田区同德路8号设计院一楼,lng:114.098185|lat:22.547
4403000000022808,福强,0755-83223220,华强北街道,福田区燕南路106号福强社区工作站,lng:114.093101|lat:22.547496
4403000000022809,荔村,0755-83350152,华强北街道,福田区振兴路红荔村11栋首层,lng:114.090185|lat:22.547406
4403000000022810,华红,0755-83253153,华强北街道,福田区华强北路4005号海馨苑综合楼2楼,lng:114.085796|lat:22.553091
4403000000022811,松岗,0755-27717334,松岗街道,宝安区山门路44号松岗社区工作站,lng:113.846469|lat:22.771951
4403000000022812,福保,0755-83854614,福保街道,福田区福强路益田豪园居4栋4楼,lng:114.05804|lat:22.51485
4403000000022813,石厦,0755-83831081,福保街道,福田区石厦东村321号11楼,lng:114.052414|lat:22.520937
4403000000022814,益田,0755-83813405,福保街道,福田区益田村益强居2栋2楼,lng:114.054957|lat:22.513373
4403000000022815,明月,0755-83828259,福保街道,福田区石厦北三街华荣净菜市场三楼,lng:114.054575|lat:22.525204
4403000000022816,新港,0755-83451699,福保街道,福田区益田五路福田花园大厦一楼101号,lng:114.047764|lat:22.516918
4403000000022817,宝岭,0755-89708024,南湾街道,龙岗区南湾街道桂芳园凌波居D座负二楼,lng:114.14161|lat:22.60974
4403000000022818,罗湖,0755-82320790,南湖街道,罗湖区人民南路罗湖村93号5楼,lng:114.120433|lat:22.535278
4403000000022819,和平,0755-82112950,南湖街道,罗湖区和平路1195号中怡大厦三楼,lng:114.114599|lat:22.538505
4403000000022820,康乐,0755-84736471,南湾街道,龙岗区南湾街道康桥紫郡花园32栋S单元2楼,lng:114.14144|lat:22.62805
4403000000022821,嘉北,0755-22276602,南湖街道,罗湖区东门南路3011号东海大厦四楼,lng:114.121571|lat:22.541834
4403000000022822,丹平,0755-28212002,南湾街道,龙岗区南湾街道闽鹏程物流园1栋,lng:114.157443|lat:22.624543
4403000000022823,保安,0755-28709540,园山街道,龙岗区园山街道保安社区联合路6号,lng:114.214816|lat:22.655616
4403000000022824,文锦,0755-82141344,南湖街道,罗湖区新安路森威大厦雍景园四楼,lng:114.130509|lat:22.542904
4403000000022825,新南,0755-82227855,南湖街道,罗湖区南极路南华大厦主楼15号,lng:114.12717|lat:22.543386
4403000000022826,松园,0755-25574439,桂园街道,罗湖区红桂路2088号3栋101,lng:114.106364|lat:22.550412
4403000000022827,大塘龙,0755-25571272,桂园街道,罗湖区桂园北路160号12栋101,lng:114.113073|lat:22.553741
4403000000022828,四联,0755-28690410,横岗街道,龙岗区横岗街道四联社区兴旺路二巷18号,lng:114.19888|lat:22.6561
4403000000022829,红村,0755-25890036,桂园街道,罗湖区解放路广场北街15号,lng:114.109189|lat:22.544852
4403000000022830,新围,0755-82245721,桂园街道,罗湖区红岭南路滨苑小区3栋104,lng:114.107478|lat:22.536842
4403000000022831,老围,0755-25580177,桂园街道,罗湖区红宝路京基100D栋金龙大厦5楼,lng:114.107007|lat:22.545185
4403000000022832,华侨新村,0755-28682805,横岗街道,龙岗区横岗街道茂盛路华侨新村社区工作站一楼,lng:114.205443|lat:22.650875
4403000000022833,人民桥,0755-82111223,桂园街道,罗湖区宝安南路1050号嘉宾花园C座3楼,lng:114.112602|lat:22.540004
4403000000022834,东门,0755-82301837,东门街道,罗湖区解放路2003号金世界商城6楼,lng:114.117575|lat:22.545025
4403000000022835,螺岭,0755-82229386,东门街道,罗湖区东升街111号2楼,lng:114.125189|lat:22.552659
4403000000022836,立新,0755-82209759,东门街道,罗湖区立新路立新花园13栋G层,lng:114.120025|lat:22.548595
4403000000022837,湖容,0755-82225776,东门街道,罗湖区中兴路239号外贸集团大厦6楼,lng:114.123509|lat:22.548512
4403000000022838,城东,0755-82239278,东门街道,罗湖区中兴路239号外贸集团大厦6楼,lng:114.123509|lat:22.548512
4403000000022839,花场,0755-82186647,东门街道,罗湖区笋岗东路同乐大厦同庆阁9楼,lng:114.124891|lat:22.555341
4403000000022840,湖贝,0755-82257763,东门街道,罗湖区文锦中路1043号联兴大厦南座10楼,lng:114.1304|lat:22.548763
4403000000022841,笋岗,0755-25920205,笋岗街道,罗湖区宝岗路笋岗村庐江春天C座1单元2楼,lng:114.115492|lat:22.566064
4403000000022842,田心,0755-82484866,笋岗街道,罗湖区红岭北路3002号深城公寓二楼,lng:114.105462|lat:22.566031
4403000000022843,湖景,0755-25665169,笋岗街道,罗湖区洪湖路碧湖花园二楼,lng:114.120295|lat:22.557904
4403000000022844,田贝,0755-25632763,笋岗街道,罗湖区洪湖二街69号碧水园B栋二楼,lng:114.122119|lat:22.560608
4403000000022845,笋西,0755-25984898,笋岗街道,罗湖区宝岗路嘉宝田花园1-9号,lng:114.111166|lat:22.558018
4403000000022774,梅亭,0755-83190719,梅林街道,福田区上梅林凯丰花园凯丰综合楼319C,lng:114.064544|lat:22.567406
4403000000022775,梅丰,0755-83318642,梅林街道,福田区上梅林华茂苑6栋103,lng:114.057541|lat:22.563889
4403000000022846,北站,0755-82481148,笋岗街道,罗湖区北站路3号华商时代公寓三楼,lng:114.116289|lat:22.558032
4403000000023206,安良,0755-28616169,园山街道,龙岗区园山街道安良社区安良路193号,lng:114.219194|lat:22.630332
