AECX1101,AECX1102,AECX1107,AZZX0011,AECX1104
4403000000022696,石家,0755-29093298,马田街道,光明区马田街道石家社区上石家安佳工业园1栋
4403000000022697,石围,0755-21023927,马田街道,光明区马田街道石围社区水库路51号
4403000000022698,新安湖,0755-27759876,新安街道,宝安区新安街道8区新圳东路29号新安湖花园内新安湖社区党群服务中心
4403000000022699,南昌,0755-27489198,西乡街道,宝安区西乡街道宝源路伟业创新一八工业园
4403000000022700,共乐,0755-27902552,西乡街道,宝安区西乡街道新湾路116号共乐华庭1楼共乐社区党群服务中心
4403000000022701,河东,0755-27927370,西乡街道,宝安区西乡街道建安二路河东骏丰园副楼
4403000000022702,渔业,0755-29700609,西乡街道,宝安区西乡街道办渔业新村1号
4403000000022703,龙腾,0755-27903246,西乡街道,宝安区西乡街道西乡银田西发工业区B区五栋一楼A单元、二楼A单元龙腾社区居民委员会
4403000000022704,福中福,0755-27924175,西乡街道,宝安区西乡街道悦和路富通城四期9栋一楼（福中福社区党群服务中心）
4403000000022705,永丰,0755-27906133,西乡街道,宝安区西乡街道新湖路与劳动路交汇处北侧永丰综合楼11楼
4403000000022706,黄麻布,0755-27485508,航城街道,宝安区航城街道黄麻布路34号
4403000000022707,草围,0755-29916235,航城街道,宝安区航城街道草围社区二路28号
4403000000022708,兴围,0755-27777655,福永街道,宝安区福永街道兴围路东8号
4403000000022709,白石厦,0755-27391214,福永街道,宝安区福永街道福洲大道白石厦居委大楼
4403000000022710,蚝三,0755-27727115,沙井街道,宝安区沙井街道西环路沙一康城花园首层
4403000000022711,蚝四,0755-23062825,沙井街道,宝安区沙井街道帝堂路四村公园大楼
4403000000022712,民主,0755-27259112/27259113,沙井街道,宝安区沙井街道民主大道蚝三民主丰泽园一楼商铺133-145号
4403000000022713,步涌,0755-23237838,沙井街道,宝安区沙井街道新和大道189号
4403000000022714,上星,0755—27279289,新桥街道,宝安区新桥街道河滨南路24号上星大厦
4403000000022715,西涌,0755-84421165,南澳街道,大鹏新区南澳街道西涌鹤薮二区190号
4403000000022716,东涌,0755-84420061,南澳街道,大鹏新区南澳街道东涌社区大围126号
4403000000022717,东山,0755-84422459,南澳街道,大鹏新区南澳街道东山社区大碓路58号
4403000000022718,东渔,0755-84422452,南澳街道,大鹏新区南澳街道东渔街1号
4403000000022719,南渔,0755-84404223,南澳街道,大鹏新区南澳街道人民路2号6楼
4403000000022720,南澳,0755-84401426,南澳街道,大鹏新区南澳街道人民路2号（文体中心）三楼309室
4403000000022721,新大,0755-84425457,南澳街道,大鹏新区南澳街道南澳办事处新大路55号
4403000000022722,南隆,0755-84401154,南澳街道,大鹏新区南澳街道人民路39号
4403000000022723,园东,0755-22204314,园岭街道,福田区园岭五街园东花园3栋裙楼2楼西
4403000000022724,红荔,0755-22204111,园岭街道,福田区园岭六街中心花园商业楼二楼东
4403000000022725,长城,0755-83619384,园岭街道,福田区百花七路长怡花园C座首层
4403000000022726,南天,0755-83270160,园岭街道,福田区百花一路百花园二期芙蓉阁裙楼商铺B108
4403000000022727,上林,0755-25915881,园岭街道,福田区八卦三路荣生大厦7楼708
4403000000022728,鹏盛,0755-25982983,园岭街道,福田区八卦一路鹏盛年华A栋二楼
4403000000022729,华林,0755-25849315,园岭街道,福田区八卦一路鹏益花园2栋201
4403000000022730,巴登,0755-25943749,南园街道,福田区巴登街巴登村154号工贸楼4楼
4403000000022731,滨江,0755-82271087,南园街道,福田区东园路滨河新村26栋102、103
4403000000022732,南园,0755-83626493,南园街道,福田区统建楼2栋18D
4403000000022733,沙埔头,0755-83292525,南园街道,福田区沙埔头东村口90号
4403000000022734,锦龙,0755-83271023,南园街道,福田区华发南路锦龙花园二栋二楼西北角
4403000000022735,园西,0755-83636464,南园街道,福田区华发南路35号中电怡静苑三楼
4403000000022736,南华,0755-83634220,南园街道,福田区南华村70栋1楼东南侧
4403000000022737,赤尾,0755-83611347,南园街道,福田区华强南路御景华城5栋裙楼3楼
4403000000022738,滨河,0755-83958197,南园街道,福田区滨河大道3161号怡兴苑1栋2楼
4403000000022739,东园,0755-25847353,南园街道,福田区巴丁街43号东园新村8栋107
4403000000022740,玉田,0755-83630943,南园街道,福田区上步南路锦锋大厦首层
4403000000022741,岗厦,0755-82953340,福田街道,福田区岗厦统建楼4栋101
4403000000022742,皇岗,0755-83826905,福田街道,福田区皇岗社区市场北座207
4403000000022743,口岸,0755-82875663,福田街道,福田区福田南路7号深港一号21栋一楼
4403000000022744,福田,0755-83600368,福田街道,福田区福星路29号环庆大厦九楼
4403000000022745,福山,0755-83020439,福田街道,福田区海田路港丽豪园三栋西侧首层
4403000000022746,渔农,0755-82775230,福田街道,福田区金地名津商业广场二楼109
4403000000022747,福民,0755-83552691,福田街道,福田区福民新村福星大厦首层
4403000000022748,水围,0755-83801645,福田街道,福田区水围村198号水围新家园B栋2楼
4403000000022749,海滨,0755-83831743,福田街道,福田区金田路2006号
4403000000022750,圩镇,0755-82869063,福田街道,福田南路22号福滨苑B栋三楼圩镇社区工作站
4403000000022751,福安,0755-82030130,福田街道,福田区福华四路99号发展兴苑一栋一楼
4403000000022752,福华,0755-83740422,福田街道,福田区福华路19号上武综合楼一楼
4403000000022753,福南,0755-83983596,福田街道,福田区福华路110号广业大厦东408
4403000000022754,上沙,0755-83200558,沙头街道,福田区上沙社区服务中心2楼
4403000000022755,下沙,0755-82780028,沙头街道,福田区下沙村八坊118号
4403000000022757,沙尾,0755-83866928,沙头街道,福田区福强路沙尾股份公司一、二楼
4403000000022758,新洲,0755-83303141,沙头街道,福田区新洲中心村68号3楼
4403000000022759,新沙,0755-83401381,沙头街道,福田区新沙路忆新街6号二楼
4403000000022760,天安,0755-83303417,沙头街道,福田区天安数码城顺泰公寓一楼
4403000000022761,新华,0755-83584818,沙头街道,福田区锦洲花园3栋首层
4403000000022762,金地,0755-83897025,沙头街道,福田区福强路金地名轩二楼
4403000000022763,金城,0755-26768234,沙头街道,福田区侨城东路金海燕花园4栋1楼
4403000000022764,翠湾,0755-83471509,沙头街道,福田区新洲南路翠堤湾花园26栋首层
4403000000022765,金碧,0755-33390785,沙头街道,福田区福荣路68号万科金域蓝湾A33
4403000000022766,新兴,0755-83128189,梅林街道,福田区梅林路上梅林文体公园二楼T5－4
4403000000022767,下梅,0755-83189366,梅林街道,福田区下梅林锦林新居11栋3单元首层
4403000000022768,梅京,0755-83512425,梅林街道,福田区下梅林二街颂德国际临街商铺二楼
4403000000022769,孖岭,0755-83311913,梅林街道,福田区彩田北路7001号艺丰花园A区12栋2楼
4403000000022770,上梅,0755-83310014,梅林街道,福田区上梅林福新阁F单元2楼
4403000000022771,新阁,0755-83317183,梅林街道,福田区林园东路10号特皓苑小区4栋南面1楼
4403000000022772,梅林一村,0755-83534742,梅林街道,福田区梅丽路梅林一村居民活动中心一楼
4403000000022773,龙尾,0755-83147613,梅林街道,福田区龙尾路2号福兴花园C-109
4403000000022756,沙嘴,0755-83304077,沙头街道,福田区沙嘴村四坊84号3楼
4403000000022776,梅都,0755-83123052,梅林街道,福田区上梅林中康北路颐林雅院4栋2单元1E
4403000000022777,梅河,0755-83111067,梅林街道,福田区下梅林金梅花园2栋5单元111
4403000000022778,翰岭,0755-88395371,梅林街道,福田区梅东2路2号半山御景2栋2楼
4403000000022779,梅岗,0755-83276904,华富街道,福田区泥岗西路2012号网羽中心主馆一楼
4403000000022780,华山,0755-83269471,华富街道,福田区梅岗路1号华富村北区86栋3楼华山工作站
4403000000022781,新田,0755-83267270,华富街道,福田区福中路11号皇家翠苑1楼
4403000000022782,田面,0755-83996423,华富街道,福田区田面股份公司大楼3楼
4403000000022783,黄木岗,0755-83347696,华富街道,福田区园心苑5栋地下负一层
4403000000022784,莲花一村,0755-83276894,华富街道,福田区笋岗西路4001号莲花一村11栋101
4403000000022785,莲花二村,0755-83293882,华富街道,福田区红荔路5008号莲花二村37栋104
4403000000022786,莲花三村,0755-83258871,华富街道,福田区红荔西路5001号莲花三村长福花园3栋104房
4403000000022787,沙浦围,0755-27718260,松岗街道,宝安区沙浦围社区商住区27号沙浦围社区党群服务中心一楼
4403000000022788,沙浦,0755-23503455,松岗街道,宝安区沙浦社区沙浦二路18号沙浦社区居委大楼一楼
4403000000022789,溪头,0755-82598517/27718403,松岗街道,宝安区松岗街道溪头社区宝溪三路1号党群服务中心大楼
4403000000022790,岗头,0755-89356898,坂田街道,龙岗区坂田街道岗头社区坂雪岗大道4005号马蹄山综合楼B栋1、3楼
4403000000022791,南岭村,0755-89962383,南湾街道,龙岗区南湾街道南岭村社区南岭南路35号
4403000000022792,沙塘布,0755-28751350,南湾街道,龙岗区南湾街道沙塘布社区居委会办公大楼
4403000000022793,上李朗,0755-89701433,南湾街道,龙岗区布澜路188号
4403000000022794,下李朗,0755-28725215,南湾街道,龙岗区南湾街道下李朗社区下李北路1号
4403000000022795,福中,0755-82942604,莲花街道,福田区福中一路深业花园C栋一楼
4403000000022796,福新,0755-82987161,莲花街道,福田区黄埔雅苑逸悠园3栋1楼
4403000000022797,彩虹,0755-83131083,莲花街道,福田区莲花支路长城盛世一期2楼
4403000000022798,莲花北,0755-83926768,莲花街道,福田区莲花北村富莲大厦3栋2层
4403000000022799,景田,0755-83927214,莲花街道,福田区新洲北路景田南小区21栋102室
4403000000022800,景华,0755-83905672,莲花街道,福田区景田东路安通花园4-105
4403000000022801,紫荆,0755-82713112,莲花街道,福田区新闻路五洲星苑C栋2楼
4403000000022802,梅岭,0755-82916638,莲花街道,福田区香梅路1018号东方玫瑰园1栋2楼
4403000000022803,狮岭,0755-83924975,莲花街道,福田区红荔西路市政大院24栋一楼
4403000000022804,康欣,0755-83538622,莲花街道,福田区北环路7043号青海大厦一楼A、C室
4403000000022805,梅富,0755-83062327,莲花街道,福田区景田东路99号
4403000000022806,彩田,0755-83072882,莲花街道,福田区彩田村综合楼
4403000000022807,通新岭,0755-82103552,华强北街道,福田区同德路8号设计院一楼
4403000000022808,福强,0755-83223220,华强北街道,福田区燕南路106号福强社区工作站
4403000000022809,荔村,0755-83350152,华强北街道,福田区振兴路红荔村11栋首层
4403000000022810,华红,0755-83253153,华强北街道,福田区华强北路4005号海馨苑综合楼2楼
4403000000022811,松岗,0755-27717334,松岗街道,宝安区山门路44号松岗社区工作站
4403000000022812,福保,0755-83854614,福保街道,福田区福强路益田豪园居4栋4楼
4403000000022813,石厦,0755-83831081,福保街道,福田区石厦东村321号11楼
4403000000022814,益田,0755-83813405,福保街道,福田区益田村益强居2栋2楼
4403000000022815,明月,0755-83828259,福保街道,福田区石厦北三街华荣净菜市场三楼
4403000000022816,新港,0755-83451699,福保街道,福田区益田五路福田花园大厦一楼101号
4403000000022817,宝岭,0755-89708024,南湾街道,龙岗区南湾街道桂芳园凌波居D座负二楼
4403000000022818,罗湖,0755-82320790,南湖街道,罗湖区人民南路罗湖村93号5楼
4403000000022819,和平,0755-82112950,南湖街道,罗湖区和平路1195号中怡大厦三楼
4403000000022820,康乐,0755-84736471,南湾街道,龙岗区南湾街道康桥紫郡花园32栋S单元2楼
4403000000022821,嘉北,0755-22276602,南湖街道,罗湖区东门南路3011号东海大厦四楼
4403000000022822,丹平,0755-28212002,南湾街道,龙岗区南湾街道闽鹏程物流园1栋
4403000000022823,保安,0755-28709540,园山街道,龙岗区园山街道保安社区联合路6号
4403000000022824,文锦,0755-82141344,南湖街道,罗湖区新安路森威大厦雍景园四楼
4403000000022825,新南,0755-82227855,南湖街道,罗湖区南极路南华大厦主楼15号
4403000000022826,松园,0755-25574439,桂园街道,罗湖区红桂路2088号3栋101
4403000000022827,大塘龙,0755-25571272,桂园街道,罗湖区桂园北路160号12栋101
4403000000022828,四联,0755-28690410,横岗街道,龙岗区横岗街道四联社区兴旺路二巷18号
4403000000022829,红村,0755-25890036,桂园街道,罗湖区解放路广场北街15号
4403000000022830,新围,0755-82245721,桂园街道,罗湖区红岭南路滨苑小区3栋104
4403000000022831,老围,0755-25580177,桂园街道,罗湖区红宝路京基100D栋金龙大厦5楼
4403000000022832,华侨新村,0755-28682805,横岗街道,龙岗区横岗街道茂盛路华侨新村社区工作站一楼
4403000000022833,人民桥,0755-82111223,桂园街道,罗湖区宝安南路1050号嘉宾花园C座3楼
4403000000022834,东门,0755-82301837,东门街道,罗湖区解放路2003号金世界商城6楼
4403000000022835,螺岭,0755-82229386,东门街道,罗湖区东升街111号2楼
4403000000022836,立新,0755-82209759,东门街道,罗湖区立新路立新花园13栋G层
4403000000022837,湖容,0755-82225776,东门街道,罗湖区中兴路239号外贸集团大厦6楼
4403000000022838,城东,0755-82239278,东门街道,罗湖区中兴路239号外贸集团大厦6楼
4403000000022839,花场,0755-82186647,东门街道,罗湖区笋岗东路同乐大厦同庆阁9楼
4403000000022840,湖贝,0755-82257763,东门街道,罗湖区文锦中路1043号联兴大厦南座10楼
4403000000022841,笋岗,0755-25920205,笋岗街道,罗湖区宝岗路笋岗村庐江春天C座1单元2楼
4403000000022842,田心,0755-82484866,笋岗街道,罗湖区红岭北路3002号深城公寓二楼
4403000000022843,湖景,0755-25665169,笋岗街道,罗湖区洪湖路碧湖花园二楼
4403000000022844,田贝,0755-25632763,笋岗街道,罗湖区洪湖二街69号碧水园B栋二楼
4403000000022845,笋西,0755-25984898,笋岗街道,罗湖区宝岗路嘉宝田花园1-9号
4403000000022774,梅亭,0755-83190719,梅林街道,福田区上梅林凯丰花园凯丰综合楼319C
4403000000022775,梅丰,0755-83318642,梅林街道,福田区上梅林华茂苑6栋103
4403000000022846,北站,0755-82481148,笋岗街道,罗湖区北站路3号华商时代公寓三楼
4403000000023206,安良,0755-28616169,园山街道,龙岗区园山街道安良社区安良路193号
4403000000023207,大康,0755-84264761,园山街道,龙岗区园山街道大康社区山子吓路308号
4403000000023208,水头,0755-84314969,大鹏办事处,大鹏新区大鹏办事处水头社区石角头街3-8号
4403000000023209,荷坳,0755-28211070,园山街道,龙岗区园山街道荷坳社区荷坳路2号三楼
4403000000023210,松柏,0755-28862302,横岗街道,龙岗区横岗街道富康路230号
4403000000023211,下沙,0755-89300233,大鹏办事处,大鹏新区大鹏办事处中山路69号下沙社区综合办公楼
4403000000023212,银荷,0755-28708567,园山街道,龙岗区园山街道龙岗大道7052号水晶之城3楼
4403000000023213,华乐,0755-28656777,横岗街道,龙岗区横岗街道红棉一路与横岗一号路交界城市中心花园C区2楼
4403000000023214,志盛,0755-28636122,横岗街道,龙岗区横岗街道隆盛花园S1商铺盛大百货二楼
4403000000023215,怡锦,0755-28688335,横岗街道,龙岗区横岗街道信义锦绣花园3号楼1单元
4403000000023216,红棉,0755-89964128,横岗街道,龙岗区横岗街道中海大山地梧桐路8号
4403000000022847,木头龙,0755-22741948,翠竹街道,罗湖区爱国路1001号俊园酒店二楼
4403000000022848,翠竹,0755-25635220,翠竹街道,罗湖区东门北路2063号翠沁阁2楼
4403000000022849,龙西,0755-28436398,龙岗街道,龙岗区龙岗街道龙西社区学园路1号A栋
4403000000022850,翠宁,0755-25612363,翠竹街道,罗湖区爱国路3049号330酒店首层
4403000000022851,愉天,0755-25787912—602,翠竹街道,罗湖区文锦北路1074号—楼
4403000000022852,五联,0755-84839918,龙岗街道,龙岗区龙岗街道五联社区齐心路27号
4403000000023205,西坑,0755-28619822,园山街道,龙岗区园山街道西坑教育路27号
4403000000022853,翠达,0755-25683862,翠竹街道,罗湖区翠竹路2058号旭飞华达园九州阁409
4403000000022854,翠岭,0755-25919791,翠竹街道,罗湖区翠竹路1056号逸翠园逸厦轩首层
4403000000022855,龙岗,0755-84825929,龙岗街道,龙岗街道龙岗社区杨田路1-1、1-2号
4403000000022856,水贝,0755-25611646,翠竹街道,罗湖区水贝一路水贝市场190号附楼A3楼
4403000000022857,新村,0755-25995992,翠竹街道,罗湖区水库新村230号综合楼五楼
4403000000022858,翠鹏,0755-25431367,东湖街道,罗湖区东湖路90号彩世界家园5栋一楼架空层
4403000000022859,翠湖,0755-25510479,东湖街道,罗湖区东乐路2020号布心花园一区七楼旁翠湖社区服务楼2楼
4403000000022860,东乐,0755-25007572,东湖街道,罗湖区布心路1023号东乐花园海燕宿舍楼一楼
4403000000022861,大望,0755-25711251,东湖街道,罗湖区大望村新平大道1号大望股份公司服务楼2楼
4403000000022862,梧桐山,0755-25664920,东湖街道,罗湖区梧桐山望桐路赤水洞8号4楼
4403000000022863,布心,0755-25778702,东湖街道,罗湖区东晓路布心村203-4-1号一楼
4403000000022864,金鹏,0755-25812760,东湖街道,罗湖区金稻田路1080号金鹏社区服务楼
4403000000022865,金岭,0755-25652591,东湖街道,罗湖区金洲路218号金洲花园12栋3楼
4403000000022866,金湖,0755-25033515,东湖街道,罗湖区翠荫路326号淘金山湖景花园1栋首层
4403000000022867,坳下,0755-25708600,莲塘街道,罗湖区坳下村138号8楼
4403000000022868,长岭,0755-25736147,莲塘街道,罗湖区长岭惠名花园7栋2层
4403000000022869,莲花,0755-25735980,莲塘街道,罗湖区港莲路22号城市东座二楼
4403000000022870,莲塘,0755-25734044,莲塘街道,罗湖区莲塘路80号
4403000000022871,畔山,0755-25781376,莲塘街道,罗湖区莲塘聚宝花园银星阁首层
4403000000022872,鹏兴,0755-25172629,莲塘街道,罗湖区国威路鹏兴花园一期综合楼
4403000000022873,西岭,0755-25738373,莲塘街道,罗湖区西岭下村北区2号
4403000000022874,仙湖,0755-25775200,莲塘街道,罗湖区莲塘国威路仙桐御景雅景轩
4403000000022875,独树,0755-25689101,东晓街道,罗湖区太白路松泉山庄4-6栋2楼
4403000000022876,草埔东,0755-25687457,东晓街道,罗湖区金稻田路紫荆花园A栋4楼
4403000000022877,观城,0755-21501452,观湖街道,龙华区观湖街道观城社区环观中路58号
4403000000022878,兰花,0755-82677417,东晓街道,罗湖区布吉路1019号布吉农批市场K028号
4403000000022879,东晓,0755-22257129,东晓街道,罗湖区东晓北路泰和花园一栋首层
4403000000022880,松泉,0755-25515765,东晓街道,罗湖区太白路松泉公寓7栋2楼
4403000000022881,绿景,0755-25792055,东晓街道,罗湖区翠云路（中设广场侧）
4403000000022882,木棉岭,0755-25481502,东晓街道,罗湖区东晓街道草埔东紫荆花园A座2楼
4403000000022883,梅园,0755-82054342,清水河街道,罗湖区红岗路1003号红岗大厦1、2层
4403000000022884,鹭湖,0755-21044093,观湖街道,龙华区观湖街道环观南路招商观园南门一楼
4403000000022885,坭岗,0755-82427204,清水河街道,罗湖区清水河街道坭岗西村2号1楼
4403000000022886,清水河,0755-25902412,清水河街道,罗湖区清水河街道泥岗东路红岗花园15栋首层
4403000000022887,草埔西,0755-22235172,清水河街道,罗湖区清水河街道红岗路1168号金祥都市花园悦园首层
4403000000022888,玉龙,0755-82267291,清水河街道,罗湖区清水河街道金湖路18号武警宿舍大院车库楼二层
4403000000022889,龙湖,0755-25835282,清水河街道,罗湖区清水河街道红岗路1299号龙园山庄龙园大厦2楼
4403000000022890,水库,0755-25401140,黄贝街道,罗湖区沿河路2012号宁水花园29栋旁
4403000000022891,碧波,0755-25411646,黄贝街道,罗湖区黄贝路碧波一街碧中园碧天阁2楼
4403000000022892,怡景,0755-25410072,黄贝街道,罗湖区怡景路1053号峰景台大厦2楼
4403000000022893,新谊,0755-25669392,黄贝街道,罗湖区华丽路1041号华丽花园裙楼三楼
4403000000022894,凤凰,0755-25691343,黄贝街道,罗湖区凤凰路193号海珑华苑海天阁6楼
4403000000022895,文华,0755-25108470,黄贝街道,罗湖区深南东路1013号深发花园1栋201
4403000000022896,新秀,0755-25125448,黄贝街道,罗湖区新秀路89号新秀小学旁附1楼
4403000000022897,新兴,0755-22306219,黄贝街道,罗湖区罗芳南路36号城市东方公寓2楼
4403000000022898,罗芳,0755-25136629,黄贝街道,罗湖区延芳路498号安业馨园D栋1楼
4403000000022899,黄贝岭,0755-21520601,黄贝街道,罗湖区深南东路1002号深业东岭4栋1楼
4403000000022900,安乐,0755-26976822,南头街道,南山区南头关口二路安乐工业区25栋1楼
4403000000022901,大汪山,0755-26563205,南头街道,南山区南山大道2070-1号
4403000000022902,大新,0755-26464298,南头街道,南山区前海路大新前海商业中心二楼201-202
4403000000022903,红花园,0755-86050257,南头街道,南山区红花路8号南山豪庭小区北面二楼203号铺
4403000000022904,莲城,0755-26959699,南头街道,南山区玉泉路莲城花园10栋一楼
4403000000022905,马家龙,0755-26094730,南头街道,南山区马家龙艺园路168号荔园新村10栋一楼1-3号
4403000000022906,南联,0755-26976313,南头街道,南山区关口一路南富苑小区11栋107-108
4403000000022909,田厦,0755-26179980,南头街道,南山区常兴一街8号
4403000000022910,同乐,0755-86021545,南头街道,南山区建工村建工路28号一楼
4403000000022911,星海名城,0755-26443282,南头街道,南山区前海路星海名城三期6-7栋1楼
4403000000022912,润城,0755-28025292,观湖街道,龙华区观湖街道招商澜园6栋一楼
4403000000022913,松元厦,0755-27993368,观湖街道,龙华区观湖街道松元厦社区德胜路37号
4403000000022914,新田,0755-27977440,观湖街道,龙华区观湖街道新田社区创新工业园18号
4403000000022915,荔芳,0755-26660765,南山街道,南山区常兴路9号
4403000000022916,樟坑径,0755-27976314,观湖街道,龙华区观湖街道樟坑径宝业路22号
4403000000022917,荔湾,0755-26440212,南山街道,南山区前海路0199恒立心海湾花园5栋74、75号
4403000000022918,龙塘,0755-29787502,民治街道,龙华区民治街道新区大道洁玉街长城里程家园1楼
4403000000022919,民乐,0755-28097575,民治街道,龙华区民治街道梅坂大道与民乐立交交叉口民乐社区工作站办公大楼
4403000000022920,南园,0755-86066128,南山街道,南山区南园新四坊1号
4403000000022921,向南,0755-26642368,南山街道,南山区桂庙路向南东街10二楼
4403000000022922,学府,0755-86196182,南山街道,南山区南山大道光彩新天地2楼
4403000000022923,阳光棕榈,0755-86179611,南山街道,南山区前海路阳光棕榈园32栋3单元一楼
4403000000022924,民新,0755-29527319,民治街道,龙华区民治街道民丰路55号碧水龙幼儿园庭旁
4403000000022925,白石洲东,0755-86286380,沙河街道,南山区京基百纳北侧通道一楼
4403000000022926,白石洲西,0755-26002242,沙河街道,南山区石洲北路10号美庐景园D栋一楼
4403000000022927,上芬,0755-28039223,民治街道,龙华区民治街道中环路与龙胜路交汇处
4403000000022928,高发,0755-26920394,沙河街道,南山区沙河街道高发社区深云村综合楼一楼
4403000000022929,光华街,0755-26601547,沙河街道,南山区华侨城光华街9栋首层
4403000000022930,华夏街,0755-26915407,沙河街道,南山区沙河街道华夏街社区荔园新村10栋一楼
4403000000022931,明珠街,0755-26765158,沙河街道,南山区沙河白石洲绿景公寓一楼
4403000000022932,沙河街,0755-86314303,沙河街道,南山区沙河街34号2楼
4403000000022933,文昌街,0755-26603443,沙河街道,南山区香山西街18号首地容御1栋C座二楼
4403000000022934,香山街,0755-26601577,沙河街道,南山区沙河街道香山街社区华侨城华山村5栋1楼
4403000000022935,新塘,0755-26603244,沙河街道,南山区沙河香山西街新堂花园7栋1楼
4403000000022936,民治,0755-83723662,民治街道,龙华区民治街道沙吓村内民治社区工作站大楼
4403000000022937,中新街,0755-26911723,沙河街道,南山区华侨城福清街枕荔楼裙楼205
4403000000022938,新牛,0755-28186533,民治街道,龙华区民治街道民治大道新澜大厦2、4、5楼
4403000000022939,民强,0755-81754410,民治街道,龙华区民治街道民治民治大道第一工业区6栋北座
4403000000022940,大岭,0755-23205166,民治街道,龙华区民治街道布龙路金地上塘道A区7栋负一楼
4403000000022941,海昌,0755-26891719,蛇口街道,南山区蛇口公园南路南水小区B10一楼
4403000000022942,海湾,0755-26833221,蛇口街道,南山区蛇口海湾新村1号二楼
4403000000022943,雷岭,0755-26833420,蛇口街道,南山区蛇口花果路36号米兰公寓三楼
4403000000022944,内伶仃岛,0755-26688176,蛇口街道,南山区蛇口新街南苑小区2栋1门107室
4403000000022945,北站,0755-23086136,民治街道,龙华区民治街道民塘路白松三路创业花园240栋3楼
4403000000022946,樟坑,0755-85261872,民治街道,华区民治街道平安路向南四区24号向南商业大厦一楼
4403000000022947,围仔,0755-26864808,蛇口街道,南山区蛇口花果路32号米兰第二季公寓2楼
4403000000022948,白石龙,0755-21011345,民治街道,龙华区民治街道民丰路与望辉路交汇处17蓝牌白石龙一区4栋1-4层
4403000000022949,渔一,0755-26814470,蛇口街道,南山区蛇口新街26号春树里花园D栋商铺一楼
4403000000022950,赤湾,0755-26828037,招商街道,南山区蛇口赤湾6路B1栋105室
4403000000022951,民泰,0755-23777562,民治街道,龙华区民治街道梅龙路星河盛世花园A2栋2单元2层
4403000000022952,海月,0755-26828573,招商街道,南山区蛇口工业八路半岛花园A区9栋首层
4403000000022953,花果山,0755-26828697,招商街道,南山区蛇口花果路89号花果山小区36栋102室
4403000000022954,兰园,0755-26828477,招商街道,南山区蛇口兰园23栋首层
4403000000022955,景龙,0755-27701220,龙华街道,龙华区龙华街道景龙社区综合服务大楼1-3楼
4403000000022956,四海,0755-26828242,招商街道,南山区蛇口四海路27号四海小区12栋旁
4403000000022957,桃花园,0755-26684689,招商街道,南山区工业八路西280号壹栈林下5栋1/2层
4403000000022958,文竹园,0755-26884939,招商街道,南山区蛇口工业七路雍景湾小区商铺26-2号
4403000000022959,龙园,0755-28149237,龙华街道,龙华区龙华街道花园新村51栋
4403000000022960,华联,0755-28130301,龙华街道,龙华区龙华街道大浪南路三联股份合作公司大楼
4403000000022961,三联,0755-28150328,龙华街道,龙华区龙华街道弓村龙华新城A栋7楼
4403000000022962,油松,0755-28142970,龙华街道,龙华区龙华街道港深时代2楼
4403000000022963,松和,0755-81482221,龙华街道,龙华区龙华街道民清路50号油松股份公司办公大楼二楼
4403000000022964,清湖,0755-28122689,龙华街道,龙华区龙华街道清湖新村综合服务楼5楼
4403000000022965,海珠,0755-26480551,粤海街道,南山区海德一道海岸明珠B座一楼
4403000000022966,后海,0755-26426853,粤海街道,南山区后海华明路第一统建楼D座2楼
4403000000022967,京光,0755-26054215,粤海街道,南山区兴南路50号京光海景大厦C座1楼
4403000000022968,科技园,0755-26546396,粤海街道,南山区科丰路特发信息港A座南一楼
4403000000022969,龙城,0755-26051486,粤海街道,南山区南油龙城花园6栋103
4403000000022970,麻岭,0755-26713424,粤海街道,南山区帝景花园帝翠阁B座一楼
4403000000022971,名海,0755-26071141,粤海街道,南山区后海路文德福花园1栋1层
4403000000022972,南油,0755-86339081,粤海街道,南山区信和自由广场狮子座2楼
4403000000022973,清华,0755-28122665,龙华街道,龙华区龙华街道梅龙路98号国鸿工业区8栋二楼
4403000000022974,铜鼓,0755-26992098,粤海街道,南山区沙河西路莱英花园11栋一楼
4403000000022975,蔚蓝海岸,0755-86129633,粤海街道,南山区后海大道蔚蓝海岸二期26栋一楼
4403000000022907,南头城,0755-86133988,南头街道,南山区南头城中山东街80号一楼
4403000000022908,前海,0755-86129189,南头街道,南山区桃园西路前海花园三期47栋首层
4403000000022976,玉翠,0755-21048863,龙华街道,龙华区龙华街道玉翠新村C区1住2-3栋1-3层
4403000000022977,富康,0755-21058049,龙华街道,龙华区龙华街道东环一路与民欢路交汇处正地美术馆
4403000000022978,大浪,0755-21013844,大浪街道,龙华区大浪街道下岭排社区新岭路46号
4403000000022979,浪口,0755-29537508,大浪街道,龙华区大浪街道华兴路富隆特工业区1栋首层
4403000000022980,同胜,0755-28032128,大浪街道,龙华区大浪街道华繁路同胜股份公司办公大楼1-2楼
4403000000022981,高峰,0755-28136230,大浪街道,龙华区大浪街道龙观西路高峰大厦
4403000000022982,龙胜,0755-28145183,大浪街道,龙华路龙胜社区党群服务中心（龙胜社区警务室旁）
4403000000022983,新石,0755-21016693,大浪街道,龙华区大浪街道大浪北路同富邨工业园89栋
4403000000022984,龙平,0755-28013800,大浪街道,龙华区大浪街道布龙路与和平西路交汇处和平里二期紫荆阁裙楼
4403000000022985,大水坑,0755-21004908,福城街道,龙华区福城街道大水坑社区观水南街1号
